0.000000,-16712449,-1,255
1.000000,1543503874,-256,-1
2.000000,-16777216,-1,0
3.000000,1,0,0
4.000000,1,0,0
5.000000,3,-1,0
6.000000,1,0,0
7.000000,3,16776957,512
8.000000,-256,255,768
9.000000,0,0,256
10.000000,589824,0,256
11.000000,0,0,0
12.000000,0,0,256
13.000000,0,-16777216,0
14.000000,2,-1,0
15.000000,3,0,0
16.000000,1,2304,0
17.000000,1,0,0
18.000000,0,0,0
19.000000,1,0,0
20.000000,4,-1,0
21.000000,256,0,10
22.000000,0,0,0
23.000000,1,14024704,0
24.000000,1,0,0
25.000000,1,0,0
26.000000,2,327680,0
27.000000,1,0,0
28.000000,2,-1,0
29.000000,0,0,0
30.000000,4,-1024,255
31.000000,1,0,0
32.000000,3,0,0
33.000000,2,131072,256
34.000000,3,0,8192
35.000000,1543503873,16776960,262144
36.000000,-16777216,-1,0
37.000000,1,0,0
38.000000,1,0,0
39.000000,3,-1,0
40.000000,1,0,0
41.000000,3,-1,0
42.000000,1,0,0
43.000000,3,-16711681,65280
44.000000,2,0,0
45.000000,1,0,0
46.000000,4,-1,0
47.000000,1,0,0
48.000000,2,-1,0
49.000000,3,-1,7995392
50.000000,2,-1,0
51.000000,0,0,0
52.000000,3,-1,0
53.000000,4,0,0
54.000000,0,0,0
55.000000,3,0,0
56.000000,3,0,0
57.000000,0,0,0
58.000000,3,-256,0
59.000000,3,-1,0
60.000000,2,-150994944,0
61.000000,3,-520093696,-505290271
62.000000,9363937,768,0
