0.000000,117440511,1203175423,46774,0,0
1.000000,16579584,0,0,-50529280,-50529031
2.000000,-50529028,-50529028,-50529028,-50529028,-1819044973
3.000000,-1819044973,-1819044973,-1819044973,-1819044973,-1819044973
4.000000,-1819044973,-1819044973,-1819044973,-1819044973,-1819044973
5.000000,-1819044973,-1819044973,-1819044973,-1819044973,-1819044973
6.000000,-1819044973,-1819044973,-1819044973,-1819044973,-1819044973
7.000000,-1819044973,-50529028,-67044100,16579836,0
8.000000,0,10016,-55134538,-50529028,-50529028
9.000000,-50529028,-50529028,-50591492,64764,0
10.000000,805306368,-1241513945,-1229539658,-1,2815
